####################################
# English League Teams

Key,           Name
chelsea,       Chelsea FC
arsenal,       Arsenal FC
tottenham,     Tottenham Hotspur
westham,       West Ham United
crystalpalace, Crystal Palace
manutd,        Manchester United
mancity,       Manchester City
everton,       Everton FC
liverpool,     Liverpool FC
westbrom,      West Bromwich Albion
newcastle,     Newcastle United
stoke,         Stoke City
sunderland,    Sunderland AFC
astonvilla,    Aston Villa FC
southampton,   Southampton FC
leicester,     Leicester City
bournemouth,   AFC Bournemouth
norwich,       Norwich City
watford,       Watford FC
