####
# NB:
#  use en/teams.txt for English Teams
#  use es/teams.txt for Spanish Teams
#  use de/teams.txt for German Teams
#  use it/teams.txt for Italian Teams
#  use fr/teams.txt for French Teams
#  use at/teams.txt for Austrian Teams
#  use ro/teams.txt for Romanian Teams
#  use nl/teams.txt for Teams from Netherlands


################################
# Portugal, pt

porto,        Porto|FC Porto,                        pt, city:porto
benfica,      Benfica|Benfica Lissabon|Benfica Lis.,   pt, city:lisboa
braga,        Braga|Sporting Braga,                  pt, city:braga
sporting,     Sporting Lisboa|Sporting CP|Sporting Clube de Portugal,    pt, city:lisboa


################################
# Ukraine, ua

kiew,         Dynamo Kiew|FC Dynamo Kiew|Dynamo Kiev|Dynamo Kyiv,          ua, city:kiev
donezk,       Schachtjor Donezk|Shakhtar Don.|Shakhtar Donetsk|Schachtar Donezk,    ua, city:donetsk
metalist,     FC Metalist Kharkiv|Metalist Kharkiv,      ua, city:kharkov
dnipro,       FC Dnipro|FC Dnipro Dnipropetrovsk|Dnipro Dnipropetrovsk, ua, city:dnipropetrovsk

#############################
# Russia, ru

zenit,        Zenit St. Petersburg|Zenit Petersb.|FC Zenit St Petersburg, ru, city:stpetersburg
spartak,      Spartak Moskau|Spartak Moscow,     ru, city:moskva
moskva,       CSKA Moskva|PFC CSKA Moskva,          ru, city:moskva
rubinkazan,   Rubin Kazan|FC Rubin Kazan,                      ru, city:kazan
anzhi,        Anzhi Makhachkala|FC Anzhi Makhachkala,                ru, city:makhachkala

#########################
# Belgium, be

anderlecht,   Anderlecht|RSC Anderlecht,       be, city:brussel
genk,         Genk|KRC Genk|Koninklijke Racing Club Genk, be, city:genk


#############################
# Croatia, hr

zagreb,       Dinamo Zagreb|NK Dinamo Zagreb,        hr, city:zagreb

#######################
# Greece, gr

olympiacos,   Olympiakos Piräus|Olympiakos P.|Olympiacos,    gr, city:piraeus

###########################
# Denmark, dk

nordsjalland, FC Nordsjælland|Nordsjælland,      dk, city:farum

##########################
# Belarus, by

borissow,     BATE Borissow|BATE Borisov|Bate Borisov,           by, city:borisov

###################
#  Scotland, sc

celtic,       Celtic|Celtic Glasgow,          sc, city:glasgow

#########################
#  Turkey, tr

galatasaray,  Galatasaray|Galatasaray Istanbul,     tr, city:istanbul
fenerbahce,   Fenerbahçe|Fenerbahçe SK|Fenerbahçe Spor Kulübü|Fenerbahçe Sports Club,      tr, city:istanbul


########################
# Switzerland, ch

basel,        Basel|FC Basel|FC Basel 1893,            ch, city:basel

#############################
# Cyprus, cy

apoel,        APOEL|APOEL Nikosia,            cy, city:nikosia

##############################
# Czech Republic, cz

praha, Sparta Praha|Sparta Prague|AC Sparta Praha|AC Sparta Prague,      cz, city:praha
plzen, Viktoria Plzeň|FC Viktoria Plzeň,                     cz, city:plzen
